学科,性別,4年,3年,2年,1年
英語英米文化学科,男,76,53,83,40
英語英米文化学科,女,88,57,83,61
ヨーロッパ文化学科,男,45,67,59,55
ヨーロッパ文化学科,女,69,57,57,75
日本・東アジア文化学科,男,55,44,57,57
日本・東アジア文化学科,女,83,74,61,68
